taxon	rank	distance	rate
Caenorhabditis_briggsae_AF16	Species	146.773496	0.000764
Caenorhabditis_briggsae_AF16	Species	146.773496	0.000786
Caenorhabditis_briggsae_AF16	Species	443.711569	0.000732
Caenorhabditis_briggsae_AF16	Species	17.789368	0.000704
Caenorhabditis_briggsae_AF16	Species	17.789368	0.000711
Caenorhabditis_elegans	Species	368.956254	0.000554
Caenorhabditis_elegans	Species	368.956254	0.000557
Caenorhabditis_elegans	Species	467.868415	0.000541
Caenorhabditis_elegans	Species	14.176062	0.002263
Caenorhabditis_elegans	Species	14.176062	0.002286
Caenorhabditis_remanei	Species	122.075516	0.000918
Caenorhabditis_remanei	Species	496.790988	0.000899
Caenorhabditis_remanei	Species	359.650515	0.000744
Caenorhabditis_remanei	Species	421.795039	0.000669
Caenorhabditis_remanei	Species	17.119	0.00066
Caenorhabditis_remanei	Species	17.119	0.000664
Caenorhabditis_remanei	Species	57.507976	0.000947
Caenorhabditis_remanei	Species	57.507976	0.00095
Caenorhabditis_remanei	Species	268.265346	0.000688
Caenorhabditis_remanei	Species	268.265346	0.000706
Caenorhabditis_remanei	Species	291.34254	0.000598
Caenorhabditis_remanei	Species	291.34254	0.000615
Caenorhabditis_remanei	Species	16.304273	0.000909
Caenorhabditis_remanei	Species	16.304273	0.000911
Caenorhabditis_remanei	Species	26.562254	0.000958
Caenorhabditis_remanei	Species	26.562254	0.000969
Caenorhabditis_remanei	Species	306.877828	0.000749
Caenorhabditis_remanei	Species	306.877828	0.000758
Callithrix_jacchus	Species	25.52422	0.001255
Callithrix_jacchus	Species	25.52422	0.001292
Callithrix_jacchus	Species	27.869095	0.000784
Callithrix_jacchus	Species	27.869095	0.000841
Callithrix_jacchus	Species	25.291091	0.000747
Callithrix_jacchus	Species	25.291091	0.000786
Caniformia	Suborder	67.68369	0.000289
Caniformia	Suborder	67.68369	0.00014
Caniformia	Suborder	73.555843	0.000096
Caniformia	Suborder	32.552293	0.000701
Caniformia	Suborder	32.552293	0.000714
Caniformia	Suborder	38.37	0.001095
Caniformia	Suborder	25.540983	0.000521
Caniformia	Suborder	25.540983	0.000532
Caniformia	Suborder	31.412179	0.00105
Caniformia	Suborder	31.412179	0.001062
Caniformia	Suborder	50.351549	0.00048
Caniformia	Suborder	50.351549	0.000495
Caniformia	Suborder	39.704211	0.000677
Caniformia	Suborder	32.473291	0.000677
Caniformia	Suborder	32.473291	0.000703
Caniformia	Suborder	61.021399	0.000494
